trial_dir,epochs_logged,best_epoch,best_val_acc,final_val_acc,final_val_loss,progress_csv
"trainable_de50ecb5_130_batch_size=128,cosine_annealing_t_max=21,lr=0.0745,momentum=0.9721_2026-03-07_21-40-18",25,21,0.9371044303797469,0.9350276898734177,0.25693291623758363,"logs/ray_results/densenet-fashion-mnist/trainable_de50ecb5_130_batch_size=128,cosine_annealing_t_max=21,lr=0.0745,momentum=0.9721_2026-03-07_21-40-18/progress.csv"
"trainable_fd78c54e_154_batch_size=128,cosine_annealing_t_max=21,lr=0.1064,momentum=0.8763_2026-03-07_21-50-26",25,21,0.9363132911392406,0.9347310126582279,0.2654620779654648,"logs/ray_results/densenet-fashion-mnist/trainable_fd78c54e_154_batch_size=128,cosine_annealing_t_max=21,lr=0.1064,momentum=0.8763_2026-03-07_21-50-26/progress.csv"
"trainable_4c449f3f_200_batch_size=128,cosine_annealing_t_max=21,lr=0.0096,momentum=0.9771_2026-03-07_22-04-15",25,20,0.9354232594936709,0.9345332278481012,0.22287998673847959,"logs/ray_results/densenet-fashion-mnist/trainable_4c449f3f_200_batch_size=128,cosine_annealing_t_max=21,lr=0.0096,momentum=0.9771_2026-03-07_22-04-15/progress.csv"
"trainable_6a6d9415_173_batch_size=128,cosine_annealing_t_max=23,lr=0.0095,momentum=0.9721_2026-03-07_21-57-10",25,21,0.9354232594936709,0.934434335443038,0.23801108803364296,"logs/ray_results/densenet-fashion-mnist/trainable_6a6d9415_173_batch_size=128,cosine_annealing_t_max=23,lr=0.0095,momentum=0.9721_2026-03-07_21-57-10/progress.csv"
"trainable_8a4a35ea_156_batch_size=128,cosine_annealing_t_max=21,lr=0.0166,momentum=0.9825_2026-03-07_21-50-40",25,21,0.9363132911392406,0.9341376582278481,0.23204479168487502,"logs/ray_results/densenet-fashion-mnist/trainable_8a4a35ea_156_batch_size=128,cosine_annealing_t_max=21,lr=0.0166,momentum=0.9825_2026-03-07_21-50-40/progress.csv"
"trainable_7d6e3116_78_batch_size=256,cosine_annealing_t_max=20,lr=0.0900,momentum=0.9604_2026-03-07_21-23-59",25,19,0.93701171875,0.9337890625,0.2501911036670208,"logs/ray_results/densenet-fashion-mnist/trainable_7d6e3116_78_batch_size=256,cosine_annealing_t_max=20,lr=0.0900,momentum=0.9604_2026-03-07_21-23-59/progress.csv"
"trainable_bfd4d88e_81_batch_size=256,cosine_annealing_t_max=20,lr=0.0842,momentum=0.9627_2026-03-07_21-25-10",25,20,0.93740234375,0.9337890625,0.2361224288586527,"logs/ray_results/densenet-fashion-mnist/trainable_bfd4d88e_81_batch_size=256,cosine_annealing_t_max=20,lr=0.0842,momentum=0.9627_2026-03-07_21-25-10/progress.csv"
"trainable_f0f60795_162_batch_size=128,cosine_annealing_t_max=21,lr=0.0902,momentum=0.9668_2026-03-07_21-52-13",25,18,0.935818829113924,0.9336431962025317,0.2654480884629714,"logs/ray_results/densenet-fashion-mnist/trainable_f0f60795_162_batch_size=128,cosine_annealing_t_max=21,lr=0.0902,momentum=0.9668_2026-03-07_21-52-13/progress.csv"
"trainable_25621c3e_1_batch_size=192,cosine_annealing_t_max=20,lr=0.2700,momentum=0.9342_2026-03-07_21-01-21",25,18,0.9356328616352201,0.9332743710691823,0.2692128781158969,"logs/ray_results/densenet-fashion-mnist/trainable_25621c3e_1_batch_size=192,cosine_annealing_t_max=20,lr=0.2700,momentum=0.9342_2026-03-07_21-01-21/progress.csv"
"trainable_7e52fc2e_142_batch_size=128,cosine_annealing_t_max=21,lr=0.1259,momentum=0.9794_2026-03-07_21-44-40",25,24,0.935818829113924,0.9332476265822784,0.24229588543501082,"logs/ray_results/densenet-fashion-mnist/trainable_7e52fc2e_142_batch_size=128,cosine_annealing_t_max=21,lr=0.1259,momentum=0.9794_2026-03-07_21-44-40/progress.csv"
"trainable_69cd5a4a_121_batch_size=128,cosine_annealing_t_max=21,lr=0.0352,momentum=0.9758_2026-03-07_21-36-31",25,18,0.9360166139240507,0.9325553797468354,0.24453785011096846,"logs/ray_results/densenet-fashion-mnist/trainable_69cd5a4a_121_batch_size=128,cosine_annealing_t_max=21,lr=0.0352,momentum=0.9758_2026-03-07_21-36-31/progress.csv"
"trainable_73a8da21_188_batch_size=128,cosine_annealing_t_max=21,lr=0.0077,momentum=0.9800_2026-03-07_22-01-31",25,17,0.9342365506329114,0.9324564873417721,0.2200997011570991,"logs/ray_results/densenet-fashion-mnist/trainable_73a8da21_188_batch_size=128,cosine_annealing_t_max=21,lr=0.0077,momentum=0.9800_2026-03-07_22-01-31/progress.csv"
"trainable_d36b9537_28_batch_size=192,cosine_annealing_t_max=18,lr=0.0551,momentum=0.9690_2026-03-07_21-08-47",25,17,0.9377948113207547,0.9323899371069182,0.23694558427581247,"logs/ray_results/densenet-fashion-mnist/trainable_d36b9537_28_batch_size=192,cosine_annealing_t_max=18,lr=0.0551,momentum=0.9690_2026-03-07_21-08-47/progress.csv"
"trainable_31e8c999_199_batch_size=128,cosine_annealing_t_max=21,lr=0.0159,momentum=0.9787_2026-03-07_22-04-08",25,24,0.934434335443038,0.9323575949367089,0.24222790355546564,"logs/ray_results/densenet-fashion-mnist/trainable_31e8c999_199_batch_size=128,cosine_annealing_t_max=21,lr=0.0159,momentum=0.9787_2026-03-07_22-04-08/progress.csv"
"trainable_84150339_8_batch_size=128,cosine_annealing_t_max=18,lr=0.0599,momentum=0.9630_2026-03-07_21-03-03",25,19,0.9384889240506329,0.9315664556962026,0.23864925372166723,"logs/ray_results/densenet-fashion-mnist/trainable_84150339_8_batch_size=128,cosine_annealing_t_max=18,lr=0.0599,momentum=0.9630_2026-03-07_21-03-03/progress.csv"
"trainable_32d7298c_38_batch_size=128,cosine_annealing_t_max=18,lr=0.0725,momentum=0.9757_2026-03-07_21-12-12",25,21,0.9374011075949367,0.9307753164556962,0.23952210043804556,"logs/ray_results/densenet-fashion-mnist/trainable_32d7298c_38_batch_size=128,cosine_annealing_t_max=18,lr=0.0725,momentum=0.9757_2026-03-07_21-12-12/progress.csv"
"trainable_7f60f919_43_batch_size=448,cosine_annealing_t_max=20,lr=0.0829,momentum=0.9755_2026-03-07_21-13-20",25,22,0.9323240165631469,0.9300918737060041,0.2247231460135916,"logs/ray_results/densenet-fashion-mnist/trainable_7f60f919_43_batch_size=448,cosine_annealing_t_max=20,lr=0.0829,momentum=0.9755_2026-03-07_21-13-20/progress.csv"
"trainable_5de59e7f_42_batch_size=256,cosine_annealing_t_max=20,lr=0.0817,momentum=0.9588_2026-03-07_21-13-07",25,19,0.9341796875,0.930078125,0.23936635814607143,"logs/ray_results/densenet-fashion-mnist/trainable_5de59e7f_42_batch_size=256,cosine_annealing_t_max=20,lr=0.0817,momentum=0.9588_2026-03-07_21-13-07/progress.csv"
"trainable_c5fc747d_41_batch_size=256,cosine_annealing_t_max=20,lr=0.0845,momentum=0.9617_2026-03-07_21-12-59",25,22,0.93564453125,0.92958984375,0.2502223072573543,"logs/ray_results/densenet-fashion-mnist/trainable_c5fc747d_41_batch_size=256,cosine_annealing_t_max=20,lr=0.0845,momentum=0.9617_2026-03-07_21-12-59/progress.csv"
"trainable_25095df4_54_batch_size=128,cosine_annealing_t_max=18,lr=0.1118,momentum=0.8731_2026-03-07_21-17-26",25,22,0.9376977848101266,0.9287974683544303,0.27699687985019594,"logs/ray_results/densenet-fashion-mnist/trainable_25095df4_54_batch_size=128,cosine_annealing_t_max=18,lr=0.1118,momentum=0.8731_2026-03-07_21-17-26/progress.csv"
"trainable_f68a8ccf_98_batch_size=256,cosine_annealing_t_max=20,lr=0.0913,momentum=0.9549_2026-03-07_21-30-40",25,24,0.934765625,0.92646484375,0.26824046336114404,"logs/ray_results/densenet-fashion-mnist/trainable_f68a8ccf_98_batch_size=256,cosine_annealing_t_max=20,lr=0.0913,momentum=0.9549_2026-03-07_21-30-40/progress.csv"
"trainable_cd8d11f7_55_batch_size=128,cosine_annealing_t_max=18,lr=0.1288,momentum=0.8870_2026-03-07_21-17-29",25,17,0.9374011075949367,0.9256329113924051,0.2756662017936948,"logs/ray_results/densenet-fashion-mnist/trainable_cd8d11f7_55_batch_size=128,cosine_annealing_t_max=18,lr=0.1288,momentum=0.8870_2026-03-07_21-17-29/progress.csv"
"trainable_467d4a9e_56_batch_size=128,cosine_annealing_t_max=18,lr=0.1199,momentum=0.9865_2026-03-07_21-17-35",25,19,0.9328520569620253,0.9250395569620253,0.22989413104479825,"logs/ray_results/densenet-fashion-mnist/trainable_467d4a9e_56_batch_size=128,cosine_annealing_t_max=18,lr=0.1199,momentum=0.9865_2026-03-07_21-17-35/progress.csv"
